Customer ID,Name,Address,lat,lon
1,Amal,"Colombo Fort, Sri Lanka",6.9337271,79.8500803
2,Shan,"Maharagama,Sri Lanka",6.8472783,79.9266082
3,Steve,"Kandy City, Sri Lanka",7.2931208,80.6350358
4,Perera,"Galle Town, Sri Lanka",6.0330068,80.2170945
5,Silva,"Negombo, Sri Lanka",7.2094282,79.833117
6,Kavi,"Matara, Sri Lanka",5.947822,80.5482919
7,Mauri,"Anuradhapura, Sri Lanka",8.334985,80.4106096
8,Shiva,"Kurunegala, Sri Lanka",7.4870464,80.364908
9,Lakna,"Badulla, Sri Lanka",6.9900353,81.0570315
10,Kasun,"Ratnapura, Sri Lanka",6.5795685,80.588223
